v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id
Sabor Latino Restaurant,Latin American Restaurant,1034.0,2,4e408ac27d8be0ba11bcf551
Kozy Korner,Diner,646.0,1,4bae556bf964a5201da43be3
Caribe Restaurant,Spanish Restaurant,613.0,1,4b7435aef964a52042cd2de3
Coffee Bar Concepts,Coffee Shop,311.0,1,4f44d80b19836ed00196ebbf
China One Chinese Restaurant,Chinese Restaurant,550.0,1,4b80a6c6f964a520b98330e3
La Familia Restaurant Mexicano,Mexican Restaurant,564.0,1,4da332a2b1c93704e112f5a1
Aman Restaurant,Indian Restaurant,885.0,1,57363fd4498eb703a5b5ea35
Tequilaz Restaurant Lounge,Mexican Restaurant,566.0,1,5830e68792789f1ed0ecee28
Rochambeau Restaurant (Bill's),Caribbean Restaurant,510.0,1,4efb614ae3009306739d1e5d
Ten Tan Chinese Restaurant,Tanning Salon,580.0,1,4c829bd62f1c236a803f3b43
El Valled Restaurant,Latin American Restaurant,622.0,1,4dd02b28d4c065592fa9a7fb
Rochambeau West,Indian Restaurant,526.0,1,4ebc16ae0aafea6482ae0207
El Rey Del Bistec Restaurant,Food,449.0,1,4f32a43719836c91c7eb8ca1
Sing Fei Chinese Restaurant,Chinese Restaurant,411.0,1,4e6aa73eaeb7c31e43294be9
Oasis restaurant,Spanish Restaurant,535.0,1,4f270c44e4b01dc94e302542
Hing Fong Restaurant,Food,524.0,1,4f32a99219836c91c7ed90f4
Gary & Gino's Pizzeria,Pizza Place,980.0,1,4ab7a594f964a5204d7a20e3
Queen of Tacos,Mexican Restaurant,493.0,1,4e74ebead1643f93b1b05d2c
Golden Ring Restaurant,Caribbean Restaurant,470.0,1,4bf1c48b189f0f47cfa7b762
Wok Wok,Chinese Restaurant,502.0,1,4c3a5b280a71c9b6762844c9
New Restaurant,Food,613.0,1,4f3292f519836c91c7e50e48
Mario's Pizzeria & Restaurant,Pizza Place,494.0,1,4e302cfee4cdb5a70d6fa8bf
Lacabina Restaurant,Food,1104.0,1,4f32795f19836c91c7db50e6
La Cabaña II Salvadoreña Restaurante,Salvadoran Restaurant,683.0,1,577014d2cd1026b7ae4d8490
halal food cart,Food Truck,615.0,1,4e318986628430b0810ec190
Roc A Tone Restaurant,Seafood Restaurant,509.0,1,4cc9e32041e75481e92c5f84
Chai Hwa Chinese Restaurant,Chinese Restaurant,526.0,1,4dd1f83de4cd7f7178bf42bd
Dominican Valle,Spanish Restaurant,568.0,1,56749e20498ec4fc7cf5850f
Flame Bar and Grill Restaurant,Food,548.0,1,4f32070a19833175d60b17ca
Sell Off Restaurant,Indian Restaurant,942.0,1,4e4de628bd4101d0d79dae60
The Pyramid Bar & Restaurant,Other Nightlife,888.0,1,4f2c88c0e4b067066c351756
Applebee's Grill + Bar,American Restaurant,868.0,2,4bb0ebe3f964a5205c6a3ce3
Subway restaurant,Sandwich Place,831.0,1,597e5fda8a6f170227f19f29
Seven Seas,Restaurant,577.0,2,4c7001dfdf6b8cfa56c9b64d
Sammy's Fish Box Restaurant,Seafood Restaurant,946.0,1,4a9ad800f964a5201c3320e3
Crab Shanty,Seafood Restaurant,184.0,1,4ab6958ef964a520fb7720e3
Sea Shore Restaurant & Marina,Seafood Restaurant,874.0,1,4bdde3caffdec928b0d7e6a1
Sammy's Shrimp Box Restaurant,Seafood Restaurant,891.0,1,4ba53e04f964a520a7f038e3
City Island Chinese Resturant,Chinese Restaurant,832.0,1,4bfc652bf14fa593c1f5c9d4
Portofino Restaurant,Italian Restaurant,763.0,1,4b80a1c3f964a520488230e3
Johnny's Famous Reef Restaurant,Seafood Restaurant,1112.0,1,4a47cbf1f964a5201daa1fe3
Lobster Box,Seafood Restaurant,1026.0,1,4ba52024f964a520b1e038e3
Nicky's Coffee Shop,Coffee Shop,496.0,2,4c6d5ce5e6b7b1f7af76a98e
Rose's Coffee Shop,Food,481.5,2,4f3218ae19836c91c7b573d6
Hung Hing Chinese Restaurant,Chinese Restaurant,533.0,2,4e4d0387bd413c4cc66dfd72
Kawah Chinese Restaurant,Chinese Restaurant,494.0,2,4f32aad119836c91c7ee065e
Rocco's Pizza Restaurant,Pizza Place,734.0,2,4c5db38e6ebe2d7faca1d32e
Nicky's Pizza & Ristorante,Pizza Place,494.0,2,4bff3cf9ca1920a1b598ec81
New Star Coffee Shop and Deli,Coffee Shop,493.0,2,4f32af1e19836c91c7ef9f3c
Right Taste Caribbean Restaurant,Caribbean Restaurant,681.0,2,4e4ce18dbd413c4cc66ceaf2
Lena Restaurant,Mexican Restaurant,418.0,1,4c1bce70b306c92839d262b7
Mikes Pizzeria and Restaurant,Food,763.5,2,4f32296d19836c91c7bc3f8d
Waj Kang Take Out Restaurant,Food,654.5,2,4f328c3919836c91c7e28074
El Tenanpa Restaurant,Mexican Restaurant,495.0,1,4f323a2319836c91c7c2b234
